,date,id,Tweets,likes,retweets
74,2023-02-06 12:00:18+00:00,1622565848052568065,@Veera284 @AdaniOnline Why do we need to oppose adani is my question. They will face charges if they are involved in fraudulent activity but why oppose them with just a report from hindenberg which is a fraudulent org by itself,6,0
75,2023-02-06 11:48:30+00:00,1622562877516423168,"@DineshKumarLive Jaundiced eyes develop temporary myopia, please get it corrected.
India needs to support our businesses. Congress's overreliance on Hindenberg report will misfire. They rely on fake narrative like Pegasus or Rafale and besmirch their own reputation",0,0
76,2023-02-06 11:40:43+00:00,1622560920588402689,"People think this thread implies ""Adani is India,  and Hindenberg is a fake story on Adani""

NOPE

Shrikant Modak is a senior business journalist and he says, ""Report is mosty right, but the investigation must have sought help from CIA sorts - to arm twist Modi on Russia""",10,1
77,2023-02-06 11:37:02+00:00,1622559990681833472,"@hvbhat @velumania Hindenberg report has exposed all his wrong doings and has shattered the image he built over a period of time. Investors have lost confidence, faith and trust on Adani and hence the shares are falling every day. Even at the present level still the stocks are highly valuated.",0,0
78,2023-02-06 11:36:58+00:00,1622559974537957376,"@coffeestains11 @soumdaram I am here to help you understand my intent😇

While the allegations in the report most likely true, the Hindenberg research can't do this investigation by its own

American intelligence is surely involved.

Nothing wrong in it, but that's a calculated guess",4,0
79,2023-02-06 11:33:53+00:00,1622559201141874691,"@coffeestains11 @khelo_india_ The economic journalist's observations are valid equally 

He never doubted the Hindenberg research report,  not a bit

Read till end",0,0
80,2023-02-06 11:26:11+00:00,1622557261011771394,@The_word_play @GoenkaHimmat @Jairam_Ramesh Go read the Hindenberg report ....,0,0
81,2023-02-06 11:13:38+00:00,1622554103644827648,"Those BJPs who ever invested in Adani Groups are in the state of a ""thief being stung by a Scorpion""! 
#HindenbergReport",32,9
82,2023-02-06 10:56:57+00:00,1622549903326220289,"@Preet_PD_Singh @MdAltafAli15 Hindenberg report also have many citations, read more closely

Secondly, if adani has not done any wrong than why is he not suing Hindenberg in court

He can't bcoz then he will have to submit his account books and financial documents in court which he can't afford to go public",0,0
83,2023-02-06 10:50:44+00:00,1622548342378209281,"@Preet_PD_Singh @MdAltafAli15 This is a screenshot from Hindenberg Report page, it clearly mentions offshore entities created by Vinod Adani, elder brother of Gautam Adani to facilitate fraud

How can you claim they have not said it, maybe you didn't read the report properly?? https://t.co/MJK5Ns2BIU",0,0
84,2023-02-06 10:45:27+00:00,1622547009763954694,"Looks like there are no #GodiMedia outside India! 
#HindenbergReport
#BBCDocumentary",4,0
85,2023-02-06 10:45:00+00:00,1622546896274493440,"#MiddayNews |

Adani row: Another plea in Supreme Court seeking panel to probe into Hindenburg report

#AdaniRow #SupremeCourtOfIndia #SupremeCourt #HindenbergReport #NewsUpdate 

https://t.co/3E0yx03UW7",0,0
86,2023-02-06 10:43:54+00:00,1622546619353960448,@virendersehwag Jis cheez me expertise nahi hon wo bolne se bachna chahiye viru paji. Ek baar report zaroor padh lein hindenberg ki,0,0
87,2023-02-06 10:26:45+00:00,1622542302815326208,"‘#Hindenberg report some serious issues, but some observations are circumstantial’ Valuation Guru Aswath Damodaran on the Hindenberg report. #AdaniStockRout @latha_venkatesh https://t.co/1FWf7dKmiO",2,3
88,2023-02-06 10:15:35+00:00,1622539494095466496,The world don't want to see the rise of India. They started firing out Indian from jobs without caring about how much they contributed in the company for how much time. The various negative reports are made against India. Hindenberg report is it's live example. Hunger Index 106,1,0
89,2023-02-06 10:14:12+00:00,1622539148375785475,"@catale7a @soumdaram I genuinely did not understand the intent of your thread. What are you saying. That Hindenberg Report is false or that it is suspect because they stand to benefit from it and it's engineered by foreign powers?

Confused.",1,0
90,2023-02-06 10:09:13+00:00,1622537894194970624,"Fair value of Adani shares calculated at Rs. 945 per share considering it grows even at 30% for next 5 years and it's operating margins doubles from 3.6% to 7% after 10 years ... WITHOUT FACTORING IN HINDENBERG REPORT.

After factoring in, it should zero?

https://t.co/kIcoqf7qNk",0,0
91,2023-02-06 10:04:08+00:00,1622536614521225218,@minicnair @abhi2823 like what? Hindenberg report was based on whatsapp chat? where does it say anything about Corruption?,0,0
92,2023-02-06 09:57:28+00:00,1622534935985950720,@ANI Rahul gandhi ko hindenberg ki report pr itna bharosa hai aur apne desh ki sena se saboot mangne hai,1,0
93,2023-02-06 09:46:57+00:00,1622532290348974081,Hindenberg report is not an Hitjob on Indian economy but Demonetisation was definitely an Hitjob on our economy.. https://t.co/mPP0gre0l5,381,115
